#build start(26;26)
 , , , , , , , , , , , , , , ,CF, , , , , ,CF, , , , , , , ,CF, , , , , ,CF, , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , ,CF, , , , , , , ,CF, , , , , ,CF, , , , , , , ,CF, , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , , 
 , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , 
 , , , , , , , ,CF, , , , , , , , , , , , , ,CF, , , , , ,CF, , , , , , , , , , , , , ,CF, , , , , , , , 
 , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , 
 , , , , , , ,CF, , , , , , , , ,CF, , , , , , , , , , , , , , , , , ,CF, , , , , , , , ,CF, , , , , , , 
 , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , 
 , , , , , , , , , , , , ,CF,CF, , , , , , , , , , , , , , , , , , , , , ,CF,CF, , , , , , , , , , , , , 
 , , , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , , , 
 ,CF, , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , ,CF, 
CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF
 , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF
 ,CF, , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , ,CF, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 ,CF, , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , ,CF, 
CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , 
CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF
 ,CF, , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , ,CF, 
 , , , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , , , 
 , , , , , , , , , , , , ,CF,CF, , , , , , , , , , , , , , , , , , , , , ,CF,CF, , , , , , , , , , , , , 
 , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , 
 , , , , , , ,CF, , , , , , , , ,CF, , , , , , , , , , , , , , , , , ,CF, , , , , , , , ,CF, , , , , , , 
 , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , 
 , , , , , , , ,CF, , , , , , , , , , , , , ,CF, , , , , ,CF, , , , , , , , , , , , , ,CF, , , , , , , , 
 , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , 
 , , , , , , , , , , ,CF, , , , , , , , , , , , , , , , , , , , , , , , , , , ,CF, , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , ,CF, , , , , , , ,CF, , , , , ,CF, , , , , , , ,CF, , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , ,CF, , , , , ,CF, , , , , , , ,CF, , , , , ,CF, , , , , , , , , , , , , , , 
